,age,job,marital,education,credits,balance,housing,loan,contact_type,day,duration,campaign,pdays,previous,poutcome,subscription,month_num
0,95,retired,married,secondary,no,0,no,no,telephone,1,215,1,-1,0,2,0,10
1,95,retired,divorced,primary,no,2282,no,no,telephone,21,207,17,-1,0,2,1,4
2,94,retired,divorced,secondary,no,1234,no,no,cellular,3,212,1,-1,0,2,0,3
3,93,retired,married,unknown,no,775,no,no,cellular,4,476,2,13,9,1,1,8
4,93,retired,married,unknown,no,775,no,no,cellular,22,860,2,177,7,1,1,7
5,92,retired,married,unknown,no,775,no,no,cellular,26,164,4,96,3,1,1,1
6,92,retired,married,unknown,no,775,no,no,cellular,22,313,3,-1,0,2,1,10
7,90,retired,divorced,secondary,no,1,no,no,cellular,13,152,3,-1,0,2,1,2
8,90,retired,divorced,primary,no,712,no,no,telephone,3,557,1,-1,0,2,1,3
9,89,retired,married,tertiary,no,553,no,no,telephone,19,2027,5,-1,0,2,0,8
10,89,retired,married,primary,no,0,no,no,telephone,27,157,5,-1,0,2,0,9
11,89,retired,divorced,primary,no,1323,no,no,telephone,29,207,4,189,1,3,0,12
12,88,retired,married,secondary,no,433,no,no,telephone,15,161,1,274,1,0,0,9
13,88,retired,married,primary,no,648,no,no,telephone,3,318,1,-1,0,2,0,9
14,87,retired,married,secondary,no,433,no,no,telephone,15,150,1,-1,0,2,0,12
15,87,retired,married,primary,no,230,no,no,cellular,30,144,1,-1,0,2,1,10
16,87,retired,married,primary,no,2190,no,no,telephone,12,512,2,-1,0,2,1,1
17,87,retired,divorced,primary,no,6746,no,no,telephone,21,749,1,-1,0,2,1,10
18,86,retired,single,secondary,no,614,no,no,telephone,9,595,1,-1,0,2,1,12
19,86,retired,married,secondary,no,1503,no,no,telephone,18,165,3,101,1,3,0,3
20,86,retired,married,primary,no,5236,no,no,telephone,1,558,2,-1,0,2,1,4
21,86,retired,married,primary,no,1817,no,no,cellular,16,272,3,-1,0,2,0,3
22,86,retired,married,primary,no,1255,no,no,telephone,14,247,1,180,3,1,1,7
23,86,retired,married,primary,no,1255,no,no,cellular,14,192,2,92,4,1,0,10
24,86,retired,married,primary,no,0,no,no,cellular,15,141,12,-1,0,2,0,4
25,86,retired,divorced,unknown,no,157,no,no,telephone,7,147,1,-1,0,2,0,9
26,86,retired,divorced,primary,no,0,no,no,telephone,26,189,1,-1,0,2,1,8
27,85,retired,married,unknown,no,1934,no,no,telephone,12,140,1,-1,0,2,0,1
28,85,retired,married,primary,no,98,no,no,cellular,30,416,1,-1,0,2,1,4
29,85,retired,married,primary,no,1255,no,no,cellular,15,233,3,-1,0,2,1,1
30,85,retired,married,primary,no,12114,no,no,telephone,12,165,2,-1,0,2,1,2
31,85,retired,divorced,primary,no,7613,no,no,cellular,18,355,3,-1,0,2,1,2
32,84,retired,married,tertiary,no,4761,no,no,telephone,9,1405,1,92,3,0,1,9
33,84,retired,married,secondary,no,81204,no,no,telephone,28,679,1,313,2,3,1,12
34,84,retired,married,secondary,no,81204,no,no,telephone,1,390,1,94,3,1,1,4
35,84,retired,married,primary,no,1791,no,no,telephone,30,62,3,-1,0,2,0,10
36,84,retired,married,primary,no,1702,no,no,telephone,26,185,1,-1,0,2,0,8
37,84,retired,divorced,primary,no,639,no,no,telephone,18,353,3,-1,0,2,1,5
38,84,retired,divorced,primary,no,2619,no,no,telephone,8,145,2,115,2,0,0,2
39,84,retired,divorced,primary,no,1680,no,no,telephone,6,113,5,97,3,3,0,9
40,84,entrepreneur,married,secondary,no,0,no,no,telephone,30,992,2,-1,0,2,1,9
41,83,retired,single,primary,no,3349,no,no,telephone,12,89,1,-1,0,2,0,2
42,83,retired,single,primary,no,1965,no,no,telephone,13,1003,3,-1,0,2,1,10
43,83,retired,married,unknown,no,4216,no,no,cellular,12,92,1,-1,0,2,0,10
44,83,retired,married,tertiary,no,6236,no,no,cellular,2,283,2,-1,0,2,0,2
45,83,retired,married,tertiary,no,6236,no,no,cellular,12,766,1,62,3,0,0,10
46,83,retired,married,tertiary,no,6236,no,no,cellular,11,155,1,190,2,0,0,8
47,83,retired,married,tertiary,no,4761,no,no,telephone,9,294,2,93,1,1,0,6
48,83,retired,married,tertiary,no,4761,no,no,telephone,8,659,1,-1,0,2,1,3
49,83,retired,married,secondary,no,0,no,no,telephone,7,201,2,268,2,0,0,5
50,83,retired,married,secondary,no,0,no,no,cellular,18,140,10,-1,0,2,0,3
51,83,retired,married,primary,no,425,no,no,telephone,22,773,1,92,2,1,1,9
52,83,retired,married,primary,no,425,no,no,telephone,22,883,1,140,1,0,1,6
53,83,retired,married,primary,no,425,no,no,telephone,2,912,1,-1,0,2,0,2
54,83,retired,divorced,primary,no,46,no,no,cellular,25,115,1,-1,0,2,1,3
55,83,retired,divorced,primary,no,4565,no,no,cellular,13,175,2,-1,0,2,0,9
56,83,retired,divorced,primary,no,2619,no,no,telephone,16,181,2,-1,0,2,0,10
57,83,retired,divorced,primary,no,20,no,no,cellular,27,65,3,-1,0,2,0,11
58,83,retired,divorced,primary,no,1097,no,no,telephone,5,181,1,-1,0,2,1,3
59,83,retired,divorced,primary,no,0,no,no,telephone,31,664,1,77,3,1,0,5
60,83,retired,divorced,primary,no,0,no,no,telephone,3,225,1,-1,0,2,0,9
61,83,housemaid,married,primary,no,2140,no,no,cellular,6,109,3,276,8,3,0,9
62,83,housemaid,divorced,primary,no,5944,no,no,cellular,30,200,3,-1,0,2,0,7
63,82,unknown,divorced,unknown,no,0,no,no,telephone,9,277,5,-1,0,2,0,9
64,82,retired,married,unknown,no,211,no,no,telephone,22,195,3,-1,0,2,0,4
65,82,retired,married,tertiary,no,278,no,no,cellular,16,223,7,-1,0,2,0,2
66,82,retired,married,secondary,no,276,no,no,telephone,17,199,1,-1,0,2,1,8
67,82,retired,married,secondary,no,121,no,no,telephone,19,330,1,-1,0,2,1,2
68,82,retired,married,secondary,no,0,no,no,telephone,12,150,2,-1,0,2,0,8
69,82,retired,married,primary,no,8603,no,no,cellular,7,429,1,-1,0,2,1,7
70,82,retired,married,primary,no,8603,no,no,cellular,22,306,3,107,1,1,1,10
71,82,retired,married,primary,no,243,no,no,cellular,26,275,1,180,2,1,1,7
72,82,retired,married,primary,no,103,no,no,cellular,1,368,1,-1,0,2,0,9
73,82,retired,divorced,tertiary,no,0,no,no,telephone,12,226,1,-1,0,2,1,11
74,82,retired,divorced,primary,no,928,no,no,telephone,23,217,2,188,3,3,0,9
75,82,retired,divorced,primary,no,1419,no,no,telephone,26,139,1,-1,0,2,0,3
76,82,retired,divorced,primary,no,0,no,no,telephone,15,506,2,195,1,3,1,3
77,82,retired,divorced,primary,no,0,no,no,cellular,6,381,3,295,1,0,0,8
78,82,housemaid,married,primary,no,2140,no,no,telephone,14,118,6,-1,0,2,0,4
79,82,housemaid,divorced,primary,no,1381,no,no,cellular,28,844,5,181,4,0,1,7
80,82,housemaid,divorced,primary,no,1381,no,no,cellular,28,86,3,93,1,0,0,1
81,82,housemaid,divorced,primary,no,1381,no,no,cellular,27,156,1,-1,0,2,0,10
82,81,retired,married,secondary,no,93,no,no,cellular,7,164,1,-1,0,2,0,12
83,81,retired,married,secondary,no,1,no,no,cellular,19,65,5,-1,0,2,0,8
84,81,retired,married,primary,no,5220,no,no,telephone,13,135,1,94,2,3,1,11
85,81,retired,married,primary,no,243,no,no,cellular,27,131,1,-1,0,2,1,10
86,81,retired,married,primary,no,243,no,no,cellular,27,340,1,92,1,1,1,1
87,81,retired,married,primary,no,122,no,no,telephone,23,201,1,-1,0,2,0,4
88,81,retired,married,primary,no,1154,no,no,telephone,17,231,1,-1,0,2,1,9
89,81,retired,married,primary,no,0,no,no,telephone,11,198,1,-1,0,2,0,8
90,81,retired,divorced,unknown,no,9224,no,no,telephone,9,235,2,-1,0,2,0,11
91,81,retired,divorced,unknown,no,0,no,no,telephone,16,128,1,-1,0,2,0,10
92,81,retired,divorced,tertiary,no,0,no,no,cellular,14,357,1,-1,0,2,0,1
93,81,retired,divorced,secondary,no,452,no,no,telephone,16,443,1,-1,0,2,1,12
94,81,retired,divorced,primary,no,949,no,no,cellular,27,188,2,280,1,3,1,9
95,81,retired,divorced,primary,no,519,no,no,telephone,9,488,1,-1,0,2,0,9
96,81,retired,divorced,primary,no,4321,no,no,cellular,11,163,3,-1,0,2,0,8
97,81,retired,divorced,primary,no,0,no,no,telephone,15,172,1,-1,0,2,0,10
98,81,management,married,tertiary,no,0,no,no,cellular,7,170,1,-1,0,2,0,7
99,80,retired,married,unknown,no,355,no,no,telephone,10,156,1,-1,0,2,0,8
100,80,retired,married,tertiary,no,3669,no,no,cellular,30,166,1,-1,0,2,0,6
101,80,retired,married,secondary,no,87,no,no,telephone,27,219,2,-1,0,2,0,10
102,80,retired,married,secondary,no,8304,no,no,telephone,9,712,1,64,12,0,1,6
103,80,retired,married,secondary,no,8304,no,no,telephone,8,606,3,91,13,1,1,9
104,80,retired,married,secondary,no,8304,no,no,telephone,6,681,1,118,11,1,0,4
105,80,retired,married,secondary,no,668,no,no,telephone,8,250,1,371,1,1,1,7
106,80,retired,married,secondary,no,462,no,no,cellular,7,127,2,-1,0,2,0,12
107,80,retired,married,secondary,no,2354,no,no,telephone,4,739,1,181,2,0,1,2
108,80,retired,married,secondary,no,2354,no,no,telephone,4,199,2,181,3,1,0,8
109,80,retired,married,secondary,no,2,no,no,telephone,15,442,1,-1,0,2,0,10
110,80,retired,married,secondary,no,173,no,no,cellular,2,87,3,-1,0,2,0,8
111,80,retired,married,secondary,no,1610,no,no,cellular,12,71,1,-1,0,2,0,8
112,80,retired,married,primary,no,997,no,no,cellular,29,746,2,86,1,3,1,10
113,80,retired,married,primary,no,997,no,no,cellular,28,151,1,91,3,1,1,1
114,80,retired,married,primary,no,594,no,no,telephone,10,128,2,-1,0,2,0,5
115,80,retired,married,primary,no,2994,no,no,cellular,6,320,1,-1,0,2,0,8
116,80,retired,married,primary,no,2954,no,no,cellular,25,144,1,-1,0,2,0,9
117,80,retired,married,primary,no,1861,no,no,telephone,14,563,2,-1,0,2,0,4
118,80,retired,married,primary,no,155,no,no,telephone,9,343,2,-1,0,2,1,12
119,80,retired,married,primary,no,155,no,no,telephone,4,209,1,53,3,1,1,5
120,80,retired,married,primary,no,155,no,no,telephone,12,290,1,93,2,1,1,3
121,80,retired,married,primary,no,1548,no,no,cellular,6,331,2,-1,0,2,0,8
122,80,retired,married,primary,no,1468,no,no,cellular,13,256,2,181,3,1,0,7
123,80,retired,married,primary,no,1468,no,no,cellular,13,330,3,-1,0,2,1,1
124,80,retired,married,primary,no,1021,no,no,telephone,26,37,1,-1,0,2,0,2
125,80,retired,divorced,primary,no,5861,no,no,telephone,26,92,8,-1,0,2,0,4
126,80,retired,divorced,primary,no,235,no,no,cellular,31,577,1,223,3,3,1,3
127,80,management,married,primary,no,6483,no,no,telephone,19,123,1,-1,0,2,0,10
128,80,housemaid,married,secondary,no,499,no,no,telephone,13,224,2,393,4,0,0,4
129,80,housemaid,married,primary,no,0,no,no,cellular,23,639,1,189,1,0,1,2
130,79,retired,married,unknown,no,0,no,no,telephone,8,167,1,-1,0,2,0,7
131,79,retired,married,secondary,no,909,no,no,cellular,25,114,1,95,1,3,0,9
132,79,retired,married,secondary,no,8304,no,no,telephone,9,303,9,-1,0,2,1,3
133,79,retired,married,secondary,no,8304,no,no,cellular,9,456,2,275,9,1,1,12
134,79,retired,married,secondary,no,723,no,no,telephone,9,276,1,79,3,0,1,9
135,79,retired,married,secondary,no,723,no,no,telephone,22,295,3,-1,0,2,0,6
136,79,retired,married,secondary,no,668,no,no,telephone,2,363,1,-1,0,2,1,7
137,79,retired,married,secondary,no,4738,no,no,telephone,9,151,5,-1,0,2,0,7
138,79,retired,married,secondary,no,2661,no,no,cellular,10,254,5,-1,0,2,1,11
139,79,retired,married,secondary,no,2354,no,no,telephone,7,121,2,-1,0,2,0,8
140,79,retired,married,primary,no,8556,no,no,telephone,18,326,2,272,2,1,1,1
141,79,retired,married,primary,no,429,no,no,telephone,8,1006,2,-1,0,2,1,7
142,79,retired,married,primary,no,3481,no,no,telephone,17,82,4,-1,0,2,0,4
143,79,retired,married,primary,no,3025,no,no,telephone,11,184,1,90,6,1,0,3
144,79,retired,married,primary,no,3025,no,no,cellular,11,166,3,126,3,3,1,12
145,79,retired,married,primary,no,1058,no,no,telephone,17,564,5,-1,0,2,0,5
146,79,retired,divorced,unknown,no,2628,no,no,telephone,8,220,7,450,2,0,0,7
147,79,retired,divorced,secondary,no,631,no,no,telephone,9,440,5,182,3,0,0,8
148,79,retired,divorced,secondary,no,631,no,no,telephone,8,105,2,181,1,0,0,2
149,79,retired,divorced,primary,no,79,no,no,cellular,9,1106,2,-1,0,2,1,10
150,79,retired,divorced,primary,no,336,no,no,cellular,6,386,1,184,1,3,0,10
151,79,retired,divorced,primary,no,2787,no,no,telephone,13,617,1,377,1,1,1,7
152,79,retired,divorced,primary,no,20,no,no,cellular,29,165,2,182,1,3,0,4
153,79,retired,divorced,primary,no,1910,no,no,telephone,24,98,2,-1,0,2,0,2
154,79,housemaid,married,primary,no,0,no,no,cellular,18,90,1,-1,0,2,0,8
155,78,unknown,married,unknown,no,2235,no,no,telephone,14,300,3,-1,0,2,1,4
156,78,retired,married,unknown,no,4807,no,no,telephone,3,892,2,104,4,1,1,2
157,78,retired,married,unknown,no,4807,no,no,telephone,22,1002,4,-1,0,2,1,10
158,78,retired,married,unknown,no,38,no,no,telephone,4,156,1,1,3,3,0,8
159,78,retired,married,unknown,no,3208,no,no,telephone,20,351,3,-1,0,2,1,5
160,78,retired,married,tertiary,no,226,no,no,telephone,6,136,1,-1,0,2,0,11
161,78,retired,married,tertiary,no,1204,no,no,telephone,17,135,1,-1,0,2,1,11
162,78,retired,married,secondary,no,220,no,no,cellular,4,220,1,-1,0,2,0,8
163,78,retired,married,primary,no,8556,no,no,telephone,21,137,2,-1,0,2,1,4
164,78,retired,married,primary,no,832,no,no,telephone,11,97,3,-1,0,2,0,5
165,78,retired,married,primary,no,680,no,no,telephone,24,838,1,89,9,0,0,5
166,78,retired,married,primary,no,301,no,no,cellular,7,537,2,-1,0,2,0,9
167,78,retired,married,primary,no,2735,no,no,telephone,26,418,2,-1,0,2,0,2
168,78,retired,married,primary,no,240,no,no,cellular,20,325,1,-1,0,2,1,4
169,78,retired,married,primary,no,158,no,no,cellular,18,360,1,-1,0,2,0,2
170,78,retired,married,primary,no,14204,no,no,cellular,26,150,1,183,1,3,0,10
171,78,retired,divorced,unknown,no,2628,no,no,telephone,14,129,2,-1,0,2,0,4
172,78,retired,divorced,unknown,no,0,no,no,telephone,8,259,1,-1,0,2,0,10
173,78,retired,divorced,tertiary,no,1016,no,no,cellular,22,524,1,-1,0,2,0,6
174,78,retired,divorced,secondary,no,631,no,no,telephone,11,95,1,-1,0,2,0,8
175,78,retired,divorced,secondary,no,3417,no,no,cellular,12,309,1,181,1,1,1,5
176,78,retired,divorced,secondary,no,3219,no,no,cellular,24,151,1,-1,0,2,1,2
177,78,retired,divorced,primary,no,55,no,no,telephone,5,143,3,90,1,3,0,11
178,78,retired,divorced,primary,no,527,no,no,cellular,16,193,1,-1,0,2,1,9
179,78,retired,divorced,primary,no,4917,no,no,cellular,29,195,2,-1,0,2,0,12
180,78,retired,divorced,primary,no,2787,no,no,telephone,1,372,1,-1,0,2,1,7
